CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GH168,2,6,5,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,1,1,12,11,2,0,1,0,0,2,5,2,18,2,7,3,0,2,1
GH16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
GH16_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
GH16_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH16_12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,8,4,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1
GH16_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,2,0,0,0,0,0,0,0,0,0,0,9,0,11,2,0,0,0
GH16_14,0,0,0,0,0,0,0,7,1,2,0,2,0,0,0,4,1,1,1,0,0,1,3,0,0,0,2,6,6,0,12,0,15,5,0,10,1
GH16_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH16_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GH16_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
GH16_21,7,9,6,2,1,6,1,0,0,1,0,0,0,0,0,1,1,6,0,5,2,2,2,0,0,2,2,1,5,1,5,2,5,1,1,1,0
GH16_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GH16_24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
GH16_25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,10,7,9,0,0,0,0,1,4,0,0,0,1,0,0,0,4
GH16_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH16_3,175,138,62,13,41,61,5,18,5,7,3,7,5,2,0,169,134,200,67,76,28,19,71,0,13,7,14,24,198,56,40,11,57,18,1,84,21
GH16_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GH16_5,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,13,0,12,1,1,3,0,0,0,0,0,1,0,1,0,2,1,0,2,0
GH16_7,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
GH17,3,0,2,0,1,2,0,2,0,0,0,0,0,0,1,15,8,10,7,4,5,5,6,0,4,0,1,0,12,3,5,0,3,2,0,4,2
GH18,38,27,11,14,13,17,2,4,0,0,2,0,3,2,2,30,12,21,8,19,45,34,92,0,8,2,1,1,31,3,57,8,46,17,2,46,8
GH19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,3,2,0,1,0
GH2,13,20,11,3,1,8,0,19,0,1,1,2,0,0,0,176,62,78,14,50,89,41,171,0,13,0,10,20,111,8,213,25,213,97,3,148,21
GH20,21,19,9,2,2,15,1,11,0,4,0,0,1,2,0,87,57,71,14,53,54,36,81,0,15,2,6,12,50,2,66,16,74,29,2,67,20
