CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GT38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT39,34,68,79,13,27,35,9,33,12,24,35,15,26,25,38,8,10,3,14,43,165,129,77,4,16,28,27,51,35,6,81,57,177,80,7,115,40
GT4,9075,11449,10242,2591,2780,3863,3059,3445,1617,2780,3021,2538,3223,2997,2963,2771,2872,3087,2845,3144,11225,9974,9957,1689,2278,3534,4009,3468,8243,1189,8526,5230,16057,7626,1408,13950,4510
GT41,25,57,49,9,8,12,58,7,0,0,0,2,0,0,2,5,8,4,17,17,33,32,81,5,3,39,28,14,61,5,80,11,58,34,9,52,6
GT42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GT43,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GT45,5,2,4,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,2,0,1,9,0,0,2,0,2,2,0,10,4,7,7,0,9,0
GT47,12,9,5,1,2,4,0,1,0,0,0,0,0,0,0,1,0,5,0,4,3,4,5,1,0,1,2,2,3,1,33,9,26,31,0,52,1
GT48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0
GT49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT5,409,371,239,63,106,175,28,130,16,80,66,32,53,57,58,226,235,265,165,212,498,467,569,10,148,54,62,87,573,158,205,110,325,177,34,561,199
