TAXA	ART45	ART46	ART47	ART48	ART49	ART50	CIGOMA4	CIGOMD18	DELGOM54	DELGOM55	DELGOM56	DELGOM57	DELGOM58	DELGOM59	DELGOM60	DSANT06	DSANT08	DSANT09	DSANT11	DSANT95	GBGOC44	GBGOC45	GBGOC47	GYRPAC92	HRSPAC47	KJGOM4	KJGOM5	KJGOM6	KOR52	KOR58	LOKART30	LOKART60	LOKART62	LOKART95	MARPAC23	SMMPAC33	SMMPAC46
Oxygen	oxic	oxic	oxic	oxic	oxic	oxic	oxic	anoxic	oxic	anoxic	anoxic	oxic	anoxic	anoxic	anoxic	oxic	oxic	oxic	oxic	oxic	anoxic	anoxic	anoxic	oxic	anoxic	oxic	oxic	anoxic	oxic	oxic	anoxic	anoxic	anoxic	anoxic	oxic	anoxic	anoxic
Rubrobacteria	0.124816	0.162384	0.194561	0.173462	0.167311	0.151819	0.265859	0.247387	0.301267	0.308669	0.322266	0.289266	0.283224	0.286193	0.290858	0.058322	0.102009	0.07097	0.172432	0.041363	0.127003	0.102412	0.072272	0.124495	0.093531	0.254067	0.276931	0.240282	0.181529	0.178203	0.175383	0.169597	0.137906	0.113548	0.203338	0.192742	0.198359
Thermoleophilia	0.038138	0.054523	0.062692	0.05534	0.056519	0.048057	0.091808	0.05847	0.086122	0.07009	0.057446	0.076048	0.048847	0.0454	0.052248	0.016355	0.025021	0.020239	0.045714	0.013257	0.017082	0.01335	0.013612	0.033799	0.012377	0.078188	0.069772	0.051075	0.051056	0.053581	0.064571	0.045806	0.03305	0.027961	0.05546	0.050297	0.042589
Aquificae	0.055164	0.045422	0.045442	0.04527	0.042239	0.049555	0.022228	0.102899	0.063551	0.110159	0.136305	0.072059	0.182355	0.178591	0.168999	0.064785	0.060774	0.039603	0.047938	0.013919	0.225029	0.214913	0.158162	0.022317	0.175927	0.03998	0.069264	0.135036	0.04723	0.04355	0.137629	0.167127	0.138574	0.139068	0.04724	0.1446	0.16914
Armatimonadia	0	0.000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000003	0	0	0	0	0	0	0.000005	0	0	0	0	0	0	0
Chthonomonadetes	0.008876	0.009447	0.011725	0.010323	0.009007	0.009568	0.006704	0.016456	0.012113	0.02139	0.017856	0.012623	0.016984	0.015622	0.01811	0.005079	0.006569	0.005097	0.009775	0.002483	0.009434	0.009053	0.009203	0.005333	0.010187	0.010872	0.014008	0.019048	0.007421	0.00736	0.012186	0.02082	0.016325	0.013883	0.012507	0.014656	0.018568
Fimbriimonadia	0.01698	0.020541	0.022124	0.019835	0.020117	0.019412	0.019295	0.028353	0.028921	0.031897	0.032618	0.027035	0.025328	0.029006	0.027067	0.008775	0.01313	0.010471	0.019516	0.003349	0.013486	0.011702	0.016321	0.012297	0.017289	0.021083	0.024716	0.028453	0.019219	0.018143	0.016417	0.020789	0.01921	0.014884	0.032274	0.021571	0.021928
Bacteroidia	0.804862	0.634667	0.594913	0.606322	0.580707	0.653854	0.29943	0.881726	0.596558	0.903034	1.007312	0.669956	1.133893	1.140215	1.090403	1.874978	1.238104	0.917171	1.334186	0.425082	0.971923	0.818496	2.089183	0.244743	1.402505	0.444132	0.620157	1.177211	0.782395	0.683216	1.129722	1.010912	1.039474	0.906368	0.563689	1.303125	1.454261
Chitinophagia	0.36635	0.317324	0.286858	0.299233	0.286426	0.333672	0.129406	0.369465	0.254791	0.38001	0.418839	0.281424	0.436817	0.463929	0.435108	0.555613	0.433218	0.380269	0.331979	0.108698	0.331066	0.271627	0.565761	0.115085	0.467467	0.200938	0.284836	0.510095	0.331257	0.290467	0.467916	0.421283	0.424602	0.3739	0.276481	0.532269	0.576843
Cytophagia	1.320175	1.153841	1.06329	1.080365	1.018531	1.16728	0.531498	1.126001	0.878295	1.173219	1.238127	0.961526	1.313147	1.344923	1.267691	1.850595	1.380314	1.375772	1.025329	0.383439	0.976099	0.818562	1.829446	0.433676	1.240368	0.755488	0.949871	1.487297	1.105068	1.009392	1.322623	1.201375	1.183999	1.076528	1.018449	1.475781	1.548288
Flavobacteriia	6.46156	3.789745	3.083089	4.523271	5.096092	5.836881	0.501462	2.023025	1.157738	1.939826	2.318002	1.438041	2.733292	2.761079	2.603697	39.465573	19.165934	34.656206	3.402564	5.06602	2.770409	2.482161	9.018299	0.68297	6.456834	0.993504	1.493772	3.147249	2.65969	2.907078	3.955683	3.13026	3.333177	3.020159	2.656047	4.357	3.787855
Saprospiria	0.038239	0.033362	0.028906	0.03075	0.030409	0.036183	0.012381	0.030289	0.023958	0.032481	0.035677	0.027413	0.034817	0.037427	0.038263	0.050681	0.043998	0.039835	0.034608	0.010118	0.031074	0.023024	0.063213	0.011617	0.038957	0.020275	0.027749	0.046243	0.035502	0.033165	0.035547	0.037302	0.040879	0.038517	0.028737	0.046089	0.047094
Sphingobacteriia	0.621981	0.487293	0.428523	0.460542	0.433212	0.515407	0.145599	0.513518	0.312472	0.505346	0.545611	0.372606	0.613818	0.639835	0.589376	1.130142	0.766504	0.769214	0.43715	0.197918	0.629537	0.50533	1.342014	0.149461	0.774262	0.250853	0.383359	0.748141	0.46936	0.411814	0.753215	0.669373	0.654662	0.598198	0.388737	0.826621	0.830999
Balneolia	0.014052	0.011427	0.009608	0.011178	0.009704	0.012032	0.003112	0.011625	0.007043	0.011716	0.013197	0.007808	0.017759	0.01912	0.016224	0.026471	0.018558	0.016995	0.010381	0.002655	0.01569	0.011891	0.0292	0.00394	0.020461	0.006308	0.008793	0.01827	0.010761	0.01162	0.013566	0.015665	0.015236	0.013745	0.009321	0.023198	0.022581
Caldisericia	0.003765	0.002923	0.002543	0.003112	0.002534	0.003094	0.001191	0.005645	0.003468	0.007922	0.007897	0.003474	0.00864	0.008543	0.008014	0.005475	0.004145	0.00284	0.002857	0.000685	0.032637	0.039438	0.014711	0.001495	0.010722	0.003021	0.003603	0.01228	0.003296	0.00275	0.009194	0.012161	0.011146	0.009209	0.00349	0.011196	0.008664
Calditrichae	0.018561	0.016514	0.017355	0.016142	0.014412	0.01688	0.00954	0.041471	0.02716	0.046782	0.049122	0.035806	0.055382	0.055774	0.049733	0.022896	0.033017	0.015059	0.042562	0.005236	0.067827	0.055305	0.064204	0.009783	0.039784	0.017942	0.033827	0.060719	0.034344	0.022673	0.025979	0.040528	0.036373	0.037469	0.022367	0.064816	0.072305
Candidatus_Marinamargulisbacteria	0	0.000008	0.000009	0	0	0.00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Peribacteria	0.004537	0.004914	0.005922	0.005205	0.00514	0.00539	0.004328	0.007029	0.011205	0.008381	0.007968	0.010009	0.012922	0.010048	0.01426	0.001942	0.003539	0.002235	0.005031	0.000734	0.004098	0.00329	0.005075	0.003159	0.003654	0.005987	0.008882	0.009265	0.004537	0.004446	0.012713	0.007146	0.005699	0.006815	0.004989	0.006764	0.006169
Candidatus_Sumerlaeia	0.010784	0.012016	0.012503	0.011123	0.011049	0.011332	0.009147	0.021477	0.018516	0.020889	0.031373	0.020672	0.035925	0.039339	0.03838	0.007271	0.011142	0.006196	0.015109	0.001912	0.013724	0.012158	0.008763	0.007031	0.016979	0.012314	0.01619	0.026416	0.010791	0.009787	0.016991	0.015773	0.015433	0.012156	0.013069	0.018502	0.016898
